feedback_text,source_type,date
The graphs data is poor,research,2025-07-23
Please add charts charts,survey,2025-07-28
Please improve dashboards visualization - critical,support,2025-08-13
Please add statistics charts - critical,research,2025-07-16
There's an issue with login - urgent,user_feedback,2025-07-23
Please add search feature,survey,2025-07-26
There's a bug with file upload,sales,2025-08-07
The login keeps crashing,survey,2025-08-11
Please implement export tool,user_feedback,2025-08-01
The form screen is fast,survey,2025-07-31
The menu interface is bad to use,research,2025-08-06
Please add export webhook support,support,2025-08-04
The reports data is frustrating,survey,2025-07-17
The data sync is not working,support,2025-08-06
The responsive design app is poor,survey,2025-08-05
The mobile app is easy,support,2025-08-11
We want reports analytics,support,2025-07-21
Please improve mobile responsive design - nice to have,sales,2025-08-03
Please add graphs charts - important,sales,2025-07-26
Please improve mobile push notifications,user_feedback,2025-08-09
The menu screen is slow - important,survey,2025-08-12
Please improve metrics visualization,support,2025-08-10
We need better form design - nice to have,research,2025-07-15
The touch interface on mobile is frustrating,survey,2025-08-06
The webhook API is smooth,support,2025-08-11
Please make feedback form more poor,survey,2025-08-12
The authentication is not working - critical,sales,2025-07-22
Please implement export tool - nice to have,sales,2025-07-15
There's an issue with authentication - urgent,survey,2025-07-30
The button layout is difficult,sales,2025-07-21
The search is not working,research,2025-08-12
There's a bug with login,user_feedback,2025-07-28
Please improve reports visualization,user_feedback,2025-07-18
The onboarding experience is good,sales,2025-07-31
The data processing is too good,user_feedback,2025-07-25
Please optimize search speed,sales,2025-07-26
The webhook API is broken - nice to have,support,2025-07-15
We need faster data processing loading - nice to have,survey,2025-08-07
The feedback form is easy to understand - nice to have,research,2025-08-09
The responsive design app is confusing,user_feedback,2025-08-11
Please improve reports visualization - critical,support,2025-08-12
Please optimize search speed,user_feedback,2025-07-23
The page loading performance is poor,survey,2025-07-31
We need better dashboard design - urgent,user_feedback,2025-07-29
Please improve mobile app - critical,user_feedback,2025-07-21
The mobile app is slow,sales,2025-07-29
The mobile offline mode is poor,sales,2025-08-11
Please implement sorting tool - urgent,support,2025-07-21
Please add metrics charts,support,2025-08-04
Please optimize report generation speed,survey,2025-07-30
The data sync is not working,user_feedback,2025-07-26
We're getting errors with data sync,sales,2025-08-13
Please add dashboards charts - critical,support,2025-07-29
Please improve statistics visualization,sales,2025-07-23
The data sync keeps crashing - urgent,user_feedback,2025-07-28
The authentication is not working,sales,2025-08-13
Please add search feature,research,2025-08-03
Please add webhook webhook support - urgent,support,2025-08-14
Please improve mobile app - critical,research,2025-07-26
The navigation interface is bad to use,user_feedback,2025-07-31
Please improve the navigation UI,sales,2025-07-15
We want export sync capability,survey,2025-08-02
The data processing is good to load,sales,2025-07-31
We want export sync capability,support,2025-08-10
Please add webhook webhook support - important,sales,2025-07-28
We need better metrics reports,support,2025-08-10
There's an issue with login,survey,2025-08-13
Please improve charts visualization,survey,2025-07-22
We need more great tutorial - critical,user_feedback,2025-08-02
We want notifications options - important,survey,2025-08-03
We want search options - critical,sales,2025-08-07
The dashboards data is great,research,2025-07-19
The dashboards data is excellent - important,survey,2025-07-27
The data processing performance is frustrating,sales,2025-08-11
We want API sync capability,user_feedback,2025-08-07
Please add reports charts,user_feedback,2025-07-28
Please connect third-party tools with other tools,survey,2025-07-31
We need notifications functionality,survey,2025-08-06
We need more fast onboarding - urgent,support,2025-08-06
There's a bug with login - important,sales,2025-07-25
The metrics data is good - nice to have,support,2025-07-31
The settings is great to understand,research,2025-07-24
We need more slow help system,sales,2025-08-02
Please optimize file upload speed,user_feedback,2025-08-13
We want export sync capability,research,2025-07-30
The feedback form workflow is slow - urgent,user_feedback,2025-07-22
The sidebar interface is difficult to use,research,2025-07-15
We're getting errors with authentication,user_feedback,2025-07-18
The app on mobile is frustrating,research,2025-08-10
We want charts analytics,research,2025-08-05
Please add charts charts,sales,2025-08-07
Please improve the menu UI - important,support,2025-07-21
The authentication keeps crashing - important,support,2025-08-05
The export capability is missing,sales,2025-07-21
The form screen is easy - important,support,2025-07-31
We need better reports reports,research,2025-07-22
We want graphs analytics - critical,sales,2025-07-31
We need better dashboard design - urgent,support,2025-08-13
There's a bug with search,survey,2025-07-31
The offline mode app is good - nice to have,research,2025-07-31
